(Number of original powers   32768 )
(First point       1 )
(Last point   32768 )
(Rebin factor       0 )
(Number of rebinned powers   32767 )
(Number of Trafos   104.000 )
(Flux     78.34555050 )
(Average Poisson level      0.00000000 )
(Renormalization const   1.0000000     )
(Background rate  0.00000000     )
(Count rate per PCU   39.172775     )
(Count rate * VLE rate per PCU   3391.5210     )
       29.00000000        2.03641462        0.19968687
       29.06250000        1.96986651        0.19316131
       29.12500000        1.96620834        0.19280259
       29.18750000        2.18344712        0.21410459
       29.25000000        1.96821475        0.19299935
       29.31250000        2.39812374        0.23515537
       29.37500000        1.91323364        0.18760799
       29.43750000        2.03600717        0.19964693
       29.50000000        2.23498082        0.21915790
       29.56250000        2.18605685        0.21436051
       29.62500000        1.67459655        0.16420770
       29.68750000        2.34956908        0.23039420
       29.75000000        1.96209216        0.19239897
       29.81250000        1.97080410        0.19325325
       29.87500000        1.92777550        0.18903396
       29.93750000        1.77282512        0.17383981
       30.00000000        1.90073752        0.18638264
       30.06250000        1.56993270        0.15394457
       30.12500000        1.82069349        0.17853369
       30.18750000        1.65135336        0.16192852
       30.25000000        2.08263564        0.20421924
       30.31250000        2.00956726        0.19705428
       30.37500000        1.98692203        0.19483374
       30.43750000        2.00931883        0.19702992
       30.50000000        2.09631968        0.20556106
       30.56250000        1.90984416        0.18727563
       30.62500000        2.02834034        0.19889514
       30.68750000        2.15898466        0.21170586
       30.75000000        2.15706182        0.21151732
       30.81250000        1.96414006        0.19259977
       30.87500000        2.32061887        0.22755541
       30.93750000        2.18715572        0.21446826
       31.00000000        2.27064037        0.22265460
       31.06250000        2.15017462        0.21084197
       31.12500000        1.96039438        0.19223247
       31.18750000        2.33592272        0.22905606
       31.25000000        2.12136102        0.20801656
       31.31250000        2.21326518        0.21702851
       31.37500000        1.85652947        0.18204769
       31.43750000        2.00237513        0.19634904
       31.50000000        1.95321524        0.19152850
       31.56250000        1.84356225        0.18077615
       31.62500000        2.24223065        0.21986881
       31.68750000        1.72956324        0.16959763
       31.75000000        2.04704070        0.20072886
       31.81250000        2.25674796        0.22129235
       31.87500000        1.82988334        0.17943484
       31.93750000        1.94292343        0.19051932
       32.00000000        1.85980248        0.18236865
       32.06250000        1.68847144        0.16556825
       32.12500000        2.10811973        0.20671815
       32.18750000        2.32662439        0.22814430
       32.25000000        1.77129090        0.17368937
       32.31250000        1.86079109        0.18246557
       32.37500000        2.19932032        0.21566111
       32.43750000        1.94988513        0.19120196
       32.50000000        1.90933883        0.18722607
       32.56250000        2.09846735        0.20577165
       32.62500000        2.09567213        0.20549756
       32.68750000        1.80513763        0.17700832
       32.75000000        2.25790691        0.22140598
       32.81250000        1.93686891        0.18992561
       32.87500000        2.15130186        0.21095251
       32.93750000        2.06061769        0.20206019
       33.00000000        1.69939590        0.16663948
       33.06250000        1.70903075        0.16758426
       33.12500000        1.74585068        0.17119473
       33.18750000        1.93122923        0.18937261
       33.25000000        2.09724021        0.20565131
       33.31250000        1.75168908        0.17176725
       33.37500000        2.02481031        0.19854900
       33.43750000        2.19926095        0.21565527
       33.50000000        1.56804323        0.15375929
       33.56250000        2.31031775        0.22654530
       33.62500000        2.36283994        0.23169552
       33.68750000        2.18704867        0.21445777
       33.75000000        2.31088567        0.22660097
       33.81250000        2.02374911        0.19844493
       33.87500000        1.92825723        0.18908118
       33.93750000        2.14941263        0.21076725
       34.00000000        1.60409141        0.15729411
       34.06250000        2.03894758        0.19993526
       34.12500000        2.16095376        0.21189895
       34.18750000        2.03301668        0.19935369
       34.25000000        2.03576827        0.19962351
       34.31250000        1.98227870        0.19437841
       34.37500000        2.12275529        0.20815328
       34.43750000        1.84730148        0.18114281
       34.50000000        1.99550819        0.19567569
       34.56250000        1.77722609        0.17427136
       34.62500000        1.81128430        0.17761104
       34.68750000        2.20921445        0.21663131
       34.75000000        1.65530944        0.16231646
       34.81250000        1.93927681        0.19016173
       34.87500000        2.16712022        0.21250361
       34.93750000        2.02212358        0.19828552
       35.00000000        1.88019562        0.18436836
       35.06250000        2.38028288        0.23340593
       35.12500000        1.60797834        0.15767525
       35.18750000        2.06887984        0.20287037
       35.25000000        1.85291541        0.18169330
       35.31250000        1.97586572        0.19374958
       35.37500000        1.92768145        0.18902472
       35.43750000        1.91656661        0.18793482
       35.50000000        2.13885283        0.20973179
       35.56250000        2.04124975        0.20016100
       35.62500000        2.03493977        0.19954227
       35.68750000        2.09452534        0.20538512
       35.75000000        1.99741113        0.19586228
       35.81250000        1.73107088        0.16974546
       35.87500000        1.99238133        0.19536906
       35.93750000        1.69280684        0.16599336
       36.00000000        1.79355669        0.17587271
       36.06250000        2.15738893        0.21154939
       36.12500000        1.94620597        0.19084120
       36.18750000        1.90926850        0.18721917
       36.25000000        1.98791373        0.19493097
       36.31250000        1.80985391        0.17747077
       36.37500000        1.86947882        0.18331748
       36.43750000        2.01161361        0.19725496
       36.50000000        2.12042999        0.20792526
       36.56250000        2.27171159        0.22275965
       36.62500000        1.95890701        0.19208664
       36.68750000        1.87994504        0.18434379
       36.75000000        2.11954308        0.20783830
       36.81250000        2.03434157        0.19948360
       36.87500000        1.85645878        0.18204077
       36.93750000        1.84365153        0.18078491
       37.00000000        2.26169968        0.22177790
       37.06250000        1.87712359        0.18406712
       37.12500000        1.90211916        0.18651813
       37.18750000        1.98928821        0.19506575
       37.25000000        2.04460025        0.20048955
       37.31250000        2.70916986        0.26565596
       37.37500000        1.80170226        0.17667145
       37.43750000        1.88304269        0.18464753
       37.50000000        1.87121415        0.18348764
       37.56250000        1.92352164        0.18861681
       37.62500000        1.78884685        0.17541085
       37.68750000        1.98952317        0.19508879
       37.75000000        1.92597532        0.18885742
       37.81250000        2.05185485        0.20120093
       37.87500000        1.77107155        0.17366785
       37.93750000        1.79887068        0.17639378
       38.00000000        2.37632751        0.23301809
       38.06250000        2.17213845        0.21299569
       38.12500000        1.81367874        0.17784582
       38.18750000        1.86231732        0.18261525
       38.25000000        2.06326532        0.20231980
       38.31250000        1.77091789        0.17365280
       38.37500000        1.91140091        0.18742827
       38.43750000        2.08532190        0.20448263
       38.50000000        2.05796576        0.20180014
       38.56250000        2.28582263        0.22414336
       38.62500000        1.93861282        0.19009663
       38.68750000        2.38999701        0.23435849
       38.75000000        1.90822172        0.18711653
       38.81250000        2.04062438        0.20009969
       38.87500000        1.64275718        0.16108559
       38.93750000        2.03705502        0.19974968
       39.00000000        1.63119650        0.15995198
       39.06250000        2.22670221        0.21834612
       39.12500000        1.94170010        0.19039935
       39.18750000        1.92526579        0.18878785
       39.25000000        2.11666822        0.20755640
       39.31250000        1.86601126        0.18297745
       39.37500000        2.10581350        0.20649201
       39.43750000        1.84792435        0.18120390
       39.50000000        2.05091357        0.20110862
       39.56250000        1.64876390        0.16167460
       39.62500000        2.22852492        0.21852484
       39.68750000        1.95814812        0.19201222
       39.75000000        1.91316152        0.18760093
       39.81250000        1.74596989        0.17120644
       39.87500000        1.86502314        0.18288057
       39.93750000        2.03423166        0.19947283
       40.00000000        2.03094625        0.19915067
       40.06250000        2.37247515        0.23264033
       40.12500000        1.81136274        0.17761873
       40.18750000        2.37062049        0.23245846
       40.25000000        2.22995424        0.21866502
       40.31250000        1.87160707        0.18352617
       40.37500000        2.17761731        0.21353294
       40.43750000        2.00227070        0.19633880
       40.50000000        2.64234495        0.25910324
       40.56250000        1.92040694        0.18831140
       40.62500000        1.75482607        0.17207485
       40.68750000        2.29647827        0.22518823
       40.75000000        2.01447821        0.19753584
       40.81250000        1.96085286        0.19227745
       40.87500000        2.13614869        0.20946662
       40.93750000        1.92020428        0.18829152
       41.00000000        1.86345756        0.18272704
       41.06250000        1.88600492        0.18493798
       41.12500000        2.18379164        0.21413837
       41.18750000        1.82042587        0.17850743
       41.25000000        1.92629325        0.18888858
       41.31250000        2.00450349        0.19655775
       41.37500000        1.64485538        0.16129135
       41.43750000        1.92091966        0.18836166
       41.50000000        1.91189241        0.18747647
       41.56250000        2.02569985        0.19863622
       41.62500000        1.78500986        0.17503461
       41.68750000        2.02597284        0.19866298
       41.75000000        1.99133313        0.19526628
       41.81250000        2.05735636        0.20174040
       41.87500000        2.03450751        0.19949988
       41.93750000        1.39753544        0.13703963
       42.00000000        1.66385603        0.16315451
       42.06250000        2.42672706        0.23796017
       42.12500000        2.06023216        0.20202239
       42.18750000        2.14223003        0.21006295
       42.25000000        1.66707349        0.16347001
       42.31250000        1.72029197        0.16868851
       42.37500000        2.20305228        0.21602705
       42.43750000        1.88667870        0.18500407
       42.50000000        2.15457869        0.21127382
       42.56250000        1.84136331        0.18056053
       42.62500000        1.74980986        0.17158297
       42.68750000        1.99363816        0.19549230
       42.75000000        1.83173585        0.17961647
       42.81250000        2.10723829        0.20663172
       42.87500000        1.78537965        0.17507087
       42.93750000        1.86792076        0.18316470
       43.00000000        2.17437911        0.21321541
       43.06250000        1.80252242        0.17675187
       43.12500000        2.19698954        0.21543255
       43.18750000        1.95196509        0.19140592
       43.25000000        2.30414176        0.22593969
       43.31250000        2.17773604        0.21354459
       43.37500000        1.85774410        0.18216680
       43.43750000        1.73982382        0.17060377
       43.50000000        1.92415237        0.18867867
       43.56250000        2.16413021        0.21221043
       43.62500000        1.88524997        0.18486397
       43.68750000        1.99755311        0.19587620
       43.75000000        2.09120274        0.20505930
       43.81250000        1.94672465        0.19089206
       43.87500000        1.59467053        0.15637031
       43.93750000        2.19360876        0.21510103
       44.00000000        2.41865587        0.23716871
       44.06250000        1.88371527        0.18471347
       44.12500000        2.02282572        0.19835438
       44.18750000        1.89852738        0.18616591
       44.25000000        2.16242409        0.21204312
       44.31250000        2.34936118        0.23037383
