(Number of original powers   32768 )
(First point       1 )
(Last point   32768 )
(Rebin factor       0 )
(Number of rebinned powers   32767 )
(Number of Trafos   109.000 )
(Flux   1438.32458000 )
(Average Poisson level      0.00000000 )
(Renormalization const   1.0000000     )
(Background rate  0.00000000     )
(Count rate per PCU   719.16229     )
(Count rate * VLE rate per PCU   62210.086     )
       17.56250000        1.98916328        0.19052729
       17.62500000        1.78039861        0.17053126
       17.68750000        1.83046377        0.17532663
       17.75000000        2.06767535        0.19804737
       17.81250000        2.27193713        0.21761212
       17.87500000        2.01259589        0.19277172
       17.93750000        2.02177095        0.19365053
       18.00000000        1.90525734        0.18249057
       18.06250000        2.12356234        0.20340039
       18.12500000        2.03923988        0.19532375
       18.18750000        2.29059505        0.21939921
       18.25000000        2.04691958        0.19605935
       18.31250000        2.26317096        0.21677247
       18.37500000        1.91934121        0.18383956
       18.43750000        1.74829173        0.16745599
       18.50000000        2.21551943        0.21220829
       18.56250000        1.88055396        0.18012440
       18.62500000        1.91072595        0.18301435
       18.68750000        2.31621337        0.22185302
       18.75000000        2.09509301        0.20067352
       18.81250000        1.90162086        0.18214224
       18.87500000        1.89442492        0.18145300
       18.93750000        1.92799163        0.18466811
       19.00000000        2.24011374        0.21456398
       19.06250000        2.22477913        0.21309520
       19.12500000        1.84170806        0.17640364
       19.18750000        2.16219401        0.20710063
       19.25000000        1.82983661        0.17526656
       19.31250000        1.90633404        0.18259369
       19.37500000        1.95590198        0.18734142
       19.43750000        2.15147257        0.20607370
       19.50000000        1.72779274        0.16549253
       19.56250000        1.77574396        0.17008543
       19.62500000        1.91831458        0.18374121
       19.68750000        2.00241542        0.19179662
       19.75000000        2.20200872        0.21091419
       19.81250000        2.00969410        0.19249378
       19.87500000        2.13363910        0.20436557
       19.93750000        2.16029644        0.20691888
       20.00000000        2.35327125        0.22540252
       20.06250000        2.08357215        0.19957002
       20.12500000        2.08793831        0.19998822
       20.18750000        2.06624222        0.19791012
       20.25000000        2.09776497        0.20092945
       20.31250000        2.05579424        0.19690937
       20.37500000        1.94898891        0.18667927
       20.43750000        1.96268916        0.18799153
       20.50000000        2.11718059        0.20278913
       20.56250000        2.01518559        0.19301978
       20.62500000        2.08720112        0.19991761
       20.68750000        1.86691344        0.17881787
       20.75000000        1.82057333        0.17437929
       20.81250000        1.89441097        0.18145166
       20.87500000        2.07972217        0.19920126
       20.93750000        1.84440386        0.17666185
       21.00000000        2.33674598        0.22381967
       21.06250000        2.20822167        0.21150929
       21.12500000        2.01142597        0.19265968
       21.18750000        1.77236962        0.16976222
       21.25000000        1.95121229        0.18689224
       21.31250000        2.03033471        0.19447079
       21.37500000        1.89976239        0.18196425
       21.43750000        1.98839748        0.19045395
       21.50000000        1.96197522        0.18792315
       21.56250000        1.91367364        0.18329670
       21.62500000        2.01202631        0.19271718
       21.68750000        1.76680160        0.16922890
       21.75000000        1.74853122        0.16747890
       21.81250000        1.62363780        0.15551630
       21.87500000        2.19062138        0.20982347
       21.93750000        2.15003419        0.20593593
       22.00000000        1.97162914        0.18884782
       22.06250000        2.22772193        0.21337707
       22.12500000        1.60606325        0.15383297
       22.18750000        1.86948144        0.17906386
       22.25000000        1.96388650        0.18810622
       22.31250000        1.93583059        0.18541895
       22.37500000        2.15389657        0.20630588
       22.43750000        1.62420809        0.15557092
       22.50000000        2.26347566        0.21680166
       22.56250000        1.90006387        0.18199311
       22.62500000        1.94168556        0.18597975
       22.68750000        1.96414566        0.18813103
       22.75000000        2.14039898        0.20501305
       22.81250000        2.06845403        0.19812196
       22.87500000        1.84751976        0.17696030
       22.93750000        1.92324424        0.18421340
       23.00000000        1.98232567        0.18987237
       23.06250000        2.05497956        0.19683135
       23.12500000        1.94592547        0.18638587
       23.18750000        2.09062934        0.20024598
       23.25000000        2.23578691        0.21414955
       23.31250000        2.06274152        0.19757481
       23.37500000        2.17678380        0.20849808
       23.43750000        2.13300276        0.20430462
       23.50000000        1.89871609        0.18186401
       23.56250000        2.04641128        0.19601066
       23.62500000        2.20757627        0.21144746
       23.68750000        2.02291489        0.19376011
       23.75000000        1.85896432        0.17805649
       23.81250000        2.07326412        0.19858269
       23.87500000        1.74942839        0.16756485
       23.93750000        2.12386894        0.20342976
       24.00000000        2.23115087        0.21370549
       24.06250000        2.09535980        0.20069908
       24.12500000        1.98988986        0.19059689
       24.18750000        2.17722249        0.20854010
       24.25000000        1.62990558        0.15611665
       24.31250000        2.10308313        0.20143883
       24.37500000        1.95443511        0.18720093
       24.43750000        2.10547161        0.20166761
       24.50000000        2.06719279        0.19800116
       24.56250000        2.24692607        0.21521649
       24.62500000        1.81729054        0.17406486
       24.68750000        1.74194825        0.16684839
       24.75000000        2.18572378        0.20935437
       24.81250000        1.71844244        0.16459695
       24.87500000        1.88890874        0.18092465
       24.93750000        1.85716403        0.17788406
       25.00000000        1.85478187        0.17765589
       25.06250000        2.05308557        0.19664994
       25.12500000        2.14127517        0.20509697
       25.18750000        2.27120876        0.21754235
       25.25000000        2.02949309        0.19439018
       25.31250000        1.99310946        0.19090526
       25.37500000        2.05489898        0.19682363
       25.43750000        2.08708096        0.19990610
       25.50000000        2.32131100        0.22234127
       25.56250000        1.83123636        0.17540064
       25.62500000        1.98590744        0.19021544
       25.68750000        1.89489496        0.18149804
       25.75000000        1.89858234        0.18185121
       25.81250000        1.95084083        0.18685666
       25.87500000        2.03365898        0.19478920
       25.93750000        1.82772410        0.17506422
       26.00000000        2.15474033        0.20638669
       26.06250000        2.06733656        0.19801493
       26.12500000        1.84245372        0.17647506
       26.18750000        1.82297444        0.17460927
       26.25000000        2.30340028        0.22062573
       26.31250000        2.02731943        0.19418198
       26.37500000        2.01709962        0.19320311
       26.43750000        2.12003231        0.20306227
       26.50000000        1.88537896        0.18058656
       26.56250000        1.77734566        0.17023884
       26.62500000        2.20292735        0.21100217
       26.68750000        2.02627993        0.19408242
       26.75000000        1.94493008        0.18629052
       26.81250000        2.34184408        0.22430798
